Experiment,Coverage Rate,MMD,OT Distance,OT Distance (normalized original),AReS Cost,Percentile Difference 0-15%,Percentile Difference 15-30%,Percentile Difference 30-70%,Percentile Difference 70-85%,Percentile Difference 85-100%
MonteCarlo_original,0.9,0.0317079214365567,0.06282079219818115,0.0038811806589365005,11.165201589961761,105.03745943619299,189.01502487760575,571.2741538276164,1715.1565286408738,130.91776576000774
MonteCarlo_cone_45deg,0.9,0.03196516915158454,0.06457199156284332,0.006490837782621384,10.606227055173072,82.42754812226002,48.97534018717764,644.5896234126438,636.7861961951401,65.1334808312617
MonteCarlo_weighted_0.7,0.9,0.03144552731228145,0.0570005401968956,0.005385544151067734,10.715870984500643,61.17484506143046,58.32859788093728,495.97580352633975,754.064360577094,102.7496434446512
MonteCarlo_noisy_0.1,0.9,0.03220338609280539,0.06347823143005371,0.005685639567673206,10.878913846131935,61.2461178689167,54.8515107350211,614.4626772233694,682.8596964751871,80.89498748002674
Genetic_original,0.9,0.03510452656488751,0.038411062210798264,0.0031852133106440306,9.950764992651614,50.03182627280055,54.09174711959153,664.353955973332,704.2368113812812,73.0313359968684
Genetic_cone_45deg,0.9,0.031240164847505678,0.05678192898631096,0.005860769655555487,9.014650995181558,45.72481455636974,49.344238936833506,543.4723532718332,636.4451576648693,104.10333492907273
Genetic_weighted_0.7,0.9,0.031240164847505678,0.05678192898631096,0.005860769655555487,9.014650995181558,45.72481455636974,49.344238936833506,543.4723532718332,636.4451576648693,104.10333492907273
Genetic_noisy_0.1,0.9,0.031240164847505678,0.05678192898631096,0.005860769655555487,9.014650995181558,45.72481455636974,49.344238936833506,543.4723532718332,636.4451576648693,104.10333492907273
SimulatedAnnealing_original,0.836,0.019789355414908866,0.07354123890399933,0.003730176715180278,10.78593738647692,106.64893775550493,76.46592301102953,147.59477935396876,246.89799294756415,104.195195377968
SimulatedAnnealing_cone_45deg,0.836,0.018104323738243888,0.03492935746908188,0.004362121224403381,9.939672431650685,100.17693437898241,70.93716917210439,126.95067825580242,142.18255024298242,49.43926395511509
SimulatedAnnealing_weighted_0.7,0.836,0.01709798322293335,0.039163798093795776,0.004164139740169048,9.437361501913838,38.15553350507989,69.70889800609334,243.89395760993622,286.78429864535366,89.47103210054463
SimulatedAnnealing_noisy_0.1,0.868,0.01966847799825859,0.04810633882880211,0.0038801718037575483,10.515488494791482,81.48428619980422,25.98849029288478,134.68885433828888,402.0904305872908,86.46436860184261
Bayesian_original,0.9,0.04587699754648214,0.07597203552722931,0.00787362176924944,5.9281844654404185,48.36108558237547,97.09772440626423,450.10300608760394,484.8736583782223,27.75871757997554
Bayesian_cone_45deg,0.9,0.02341094769391061,0.04322713986039162,0.010000226087868214,6.326983972648387,66.23183225501066,51.54320604399287,360.3334848719737,608.07735202783,107.1986091194232
Bayesian_weighted_0.7,0.9,0.02709069428453001,0.04923385754227638,0.009555150754749775,6.90116673230221,79.43263664199674,62.578640678040955,382.9362697760612,630.6949113522844,111.50818714720717
Bayesian_noisy_0.1,0.9,0.028747123239269423,0.04922983795404434,0.009718770161271095,6.797086961497965,79.30198820468446,66.94544488114137,390.7268967963253,691.9604754796285,112.236541825835
DifferentialEvolution_original,0.9,0.03196221923623492,0.05039802938699722,0.003181004896759987,11.965585397652186,129.45003196146422,100.13002880895156,681.876069664336,471.6841932358048,128.450729716939
DifferentialEvolution_cone_45deg,0.9,0.0335659902999816,0.07174967229366302,0.010029707103967667,10.063223437665497,52.22355008473707,57.258206442937514,678.5766693541023,1114.060199733326,110.43768012980507
DifferentialEvolution_weighted_0.7,0.9,0.039851856861519805,0.06302867829799652,0.007411693688482046,10.274214873753866,26.148782452774288,59.25407155216359,759.7321107667185,1157.1237909661609,76.68341643212489
DifferentialEvolution_noisy_0.1,0.9,0.03986618114607597,0.06336122006177902,0.007467468269169331,10.277568201005401,26.190185944512685,59.15513366350214,760.1373178814027,1157.1237909661609,76.68341643212489
